keys,en,zh_Hans
brand.title,ECHO LATTICE,回声晶格
brand.tagline,IT LEARNED YOU,它学会了你
brand.blurb,A labyrinth that rebuilds from your last thirty moves.,一座根据你最近三十步重建的迷宫。
boot.wing_line,FIELD LEDGER · WING I,现场账本 · 第一翼
menu.field_index,FIELD INDEX,现场索引
menu.buffer,BUFFER,缓冲
menu.seed_strip,SEED  A7F3 · 19C2 · B004 · EE51,种子  A7F3 · 19C2 · B004 · EE51
menu.controls_hint,Move  WASD / Arrows     Restart  R     Undo  Z     Menu  Esc,移动  WASD / 方向键     重开  R     撤销  Z     菜单  Esc
menu.continue,Continue,继续
menu.start_new,Start New Run,开始新周目
menu.daily,Daily Challenge,每日挑战
menu.endless,Endless,无尽
menu.hard,Hard Variants,高难变体
menu.hard_count,Hard Variants (%s),高难变体（%s）
menu.settings,Settings,设置
menu.wishlist,Wishlist on Steam,Steam 愿望单
menu.quit,Quit,退出
menu.subtitle_fresh,Four Acts — %s chambers. Ink on paper.,四幕 — %s 间室。纸上墨迹。
menu.subtitle_progress,Chamber %s of %s  ·  %s★ earned,第 %s / %s 间室  ·  已获 %s★
menu.subtitle_wing_complete,Wing complete  ·  %s★ earned — start a new run,本翼完成  ·  已获 %s★ — 开始新周目
menu.daily_meta,Daily %s  ·  best %s★ / 15,每日 %s  ·  最佳 %s★ / 15
menu.daily_endless_meta,Daily %s  ·  best %s★ / 15  ·  Endless best depth %s,每日 %s  ·  最佳 %s★ / 15  ·  无尽最佳深度 %s
menu.daily_meta_code,Daily %s  ·  %s  ·  best %s★ / 15,每日 %s  ·  %s  ·  最佳 %s★ / 15
menu.demo_daily_meta_code,Next Fest demo  ·  Daily %s  ·  %s  ·  best %s★,Next Fest 试玩  ·  每日 %s  ·  %s  ·  最佳 %s★
menu.demo_index,DEMO INDEX,试玩索引
menu.subtitle_placeholder,Four Acts. Ink on paper.,四幕。纸上墨迹。
menu.daily_placeholder,Daily,每日
hud.moves,Moves: %s,步数：%s
hud.habit,Habit: %s,习惯：%s
hud.habit_unwritten,unwritten,尚未写就
hud.habit_leaning,%s-leaning,%s倾向
hud.habit_leaning_pct,%s-leaning (%s%%),%s倾向（%s%%）
hud.seed,SEED  %s,种子  %s
hud.restart,Restart (R),重开 (R)
